cd_talhao;dt_hr_local_inicial;cd_equipamento;vl_velocidade;vl_rpm;vl_temperatura_motor;vl_consumo_instantaneo
401;09/11/2021 00:00;121,00;5.53;2200,00;88,00;42.37
401;09/11/2021 00:00;121,00;5.52;2187,00;88,00;42.86
401;09/11/2021 00:00;121,00;5.58;2152,00;88,00;42.48
401;09/11/2021 00:00;121,00;5.52;2197,00;88,00;42.63
401;09/11/2021 00:00;121,00;5.55;2149,00;88,00;42.55
401;09/11/2021 00:00;121,00;5.48;2162,00;87,00;42.77
401;09/11/2021 00:00;121,00;5.46;2185,00;87,00;42.85
401;09/11/2021 00:00;121,00;5.49;2138,00;87,00;42.7
401;09/11/2021 00:00;121,00;5.16;2058,00;87,00;43.77
401;09/11/2021 00:00;121,00;4.55;1731,00;88,00;32.12
401;09/11/2021 00:00;121,00;7.13;1621,00;88,00;26.35
401;09/11/2021 00:00;121,00;7.2;1597,00;88,00;31.19
401;09/11/2021 00:00;121,00;7.64;1738,00;88,00;30.61
401;09/11/2021 00:00;121,00;9.3;2211,00;88,00;34.77
401;09/11/2021 00:00;121,00;9.99;2197,00;88,00;40.31
401;09/11/2021 00:00;121,00;9.99;2137,00;88,00;37.72
401;09/11/2021 00:00;121,00;9.95;2219,00;86,00;35.05
401;09/11/2021 00:00;121,00;10.01;2213,00;85,00;36.49
401;09/11/2021 00:00;121,00;10.15;2187,00;84,00;37.46
401;09/11/2021 00:00;121,00;10.18;2203,00;83,00;38.84
401;09/11/2021 00:00;121,00;10.29;2208,00;82,00;38.93
401;09/11/2021 00:00;121,00;8.99;2172,00;82,00;39.52
401;09/11/2021 00:00;121,00;4.62;1286,00;83,00;35.43
401;09/11/2021 00:00;121,00;3.18;2246,00;89,00;26.58
401;09/11/2021 00:00;121,00;4.68;2230,00;89,00;34.63
401;09/11/2021 00:00;121,00;3.9;1930,00;89,00;42.15
401;09/11/2021 00:00;121,00;5.01;1962,00;89,00;45.81
401;09/11/2021 00:00;121,00;4.86;1958,00;89,00;46.05
401;09/11/2021 00:00;121,00;4.78;1951,00;89,00;46.28
401;09/11/2021 00:00;121,00;4.87;1970,00;89,00;46.05
401;09/11/2021 00:00;121,00;5,00;1994,00;89,00;45.68
401;09/11/2021 00:00;121,00;4.82;1919,00;88,00;46.08
401;09/11/2021 00:00;121,00;4.9;1982,00;88,00;46.19
401;09/11/2021 00:00;121,00;4.87;1927,00;88,00;46.12
401;09/11/2021 00:00;121,00;4.95;2009,00;88,00;45.94
401;09/11/2021 00:00;121,00;4.91;1917,00;88,00;46.03
401;09/11/2021 00:00;121,00;4.77;1951,00;88,00;46.24
401;09/11/2021 00:00;121,00;4.86;1906,00;87,00;46.23
401;09/11/2021 00:00;121,00;4.93;1961,00;87,00;45.95
401;09/11/2021 00:00;121,00;4.71;1985,00;87,00;46.1
401;09/11/2021 00:00;121,00;5.11;1936,00;87,00;45.69
401;09/11/2021 00:00;121,00;5.49;2170,00;86,00;43.29
401;09/11/2021 00:00;121,00;5.44;2134,00;86,00;43.15
